mu_loc,sigma_loc,beta_loc,alpha_loc,delta_mu_loc,delta_sigma_loc,delta_beta_loc,delta_alpha_loc,mu_post_err,sigma_post_err,beta_post_err,alpha_post_err,mu_post_cor,sigma_post_cor,beta_post_cor,alpha_post_cor,mu_diff,sigma_diff,beta_diff
-1.0697169137073337,-2.3673577941629844,3.400409279608129,-1.239389791145892,0.012335287436310557,0.6500218925153181,-0.2626436243185709,0,0.25663176904350027,0.11482797681700722,0.9633529692709456,0.2245422192742154,0.25428561571229247,0.06342516384329554,0.9715772552669868,0.2245422192742154,0.002346153331207801,0.05140281297371169,-0.008224285996041192
-1.0943890184993543,-2.832212284907215,3.5317625476188086,-1.2348734710610898,0.015106181122040051,-0.2161230955351204,-0.6061439687225997,0,0.2522145619134328,0.050198215690617776,0.9618997929445438,0.22532959272412054,0.2493761785561871,0.06156322805991191,0.9788519878676706,0.22532959272412054,0.0028383833572456774,-0.011365012369294138,-0.01695219492312683
-1.0545894582338773,-2.7585561235597047,3.5530300993714636,-1.3598040225007735,0.1007458036085155,0.03368122023686664,-0.47947900703987567,0,0.26811320419426166,0.06055623556130716,0.9648819526060537,0.2042721556087514,0.2488112527700834,0.05866826102382604,0.9779634444872648,0.2042721556087514,0.01930195142417826,0.0018879745374811227,-0.013081491881211105
-1.0492864010663476,-2.743472807322998,3.3412138502020214,-1.1910061193838477,0.07285606449835327,0.13022125136781912,-0.49301973362156426,0,0.26642083609804235,0.06426229250631593,0.9566737601981165,0.23307904041416477,0.2524261372372187,0.05686210193040999,0.9730833245893347,0.23307904041416477,0.013994698860823662,0.007400190575905942,-0.016409564391218212
-0.9528722536395777,-2.585727109161143,4.077644375762987,-1.1611588471425403,0.0461506244459011,0.15851559851453537,-0.34093590480776426,0,0.28296591250719577,0.07540589994440818,0.9802987719535817,0.23845678036501353,0.27369661478786683,0.06507140765035221,0.985910174774921,0.23845678036501353,0.00926929771932894,0.01033449229405596,-0.0056114028213393174
-1.0171722995971682,-2.3953397082439656,3.7446744934591996,-1.251209250675091,0.025704405699753553,0.2360070761715177,-0.42481887329600093,0,0.26809288711941665,0.09301744414175239,0.9715919969417818,0.2224908819393507,0.2630793538837164,0.07492804668632995,0.981239885790948,0.2224908819393507,0.0050135332357002516,0.018089397455422443,-0.00964788884916623
-1.0846421597960312,-2.6575876511457057,3.53598258742808,-1.0724843895601452,-0.07083036765463452,0.2391788938265825,-0.49880502952545835,0,0.24600064705264948,0.07323692584647781,0.9639655479342174,0.25493090914597866,0.2593735702762101,0.05857001531391511,0.9778037385536267,0.25493090914597866,-0.013372923223560623,0.0146669105325627,-0.013838190619409274
-1.0475036691482076,-2.715554374969134,3.848990867405122,-1.285386509604408,0.03437452703342366,-0.13946256190977577,-0.5505987502412578,0,0.2630227669336745,0.05812450999622406,0.9727133401639367,0.21663471555652394,0.25641403240150146,0.06624691800415607,0.9840824943677035,0.21663471555652394,0.006608734532173033,-0.008122408007932007,-0.011369154203766718
-1.0698543582941273,-2.51899551378853,3.474474585101162,-1.1461497667555545,0.038443490437940084,0.4200507389636572,-0.4207839470510153,0,0.25910364024810306,0.09038277727225352,0.9631758673774958,0.24119304639200553,0.25179229404612785,0.0612824642043138,0.9755140853390115,0.24119304639200553,0.007311346201975211,0.029100313067939726,-0.012338217961515685
-1.1076173881898566,-2.615098979248056,3.7894050953490614,-1.1293374196459485,-0.02673084750449149,0.12370909007985129,-0.345823528603301,0,0.24582902753737637,0.07220882352409606,0.973826694303172,0.2442833984891488,0.2508184516751572,0.0643470508172277,0.9813359722664436,0.2442833984891488,-0.004989424137780835,0.007861772706868358,-0.00750927796327161
-1.0664097180736667,-2.7457198786105477,3.678298873820847,-1.2069203595245541,-0.027017429420107642,0.23625015008440475,-0.5296951158997325,0,0.2535214528111112,0.06738344295718611,0.968122287636055,0.23024641139222124,0.2586684177727929,0.0539700505844367,0.9809815936633296,0.23024641139222124,-0.00514696496168171,0.013413392372749411,-0.012859306027274586
-1.0328852269495026,-2.9437622231068925,3.750763511413888,-1.333208087223128,0.023158211268091887,-0.1432148416392486,-0.5395482057795786,0,0.26477306202802275,0.04673633394571703,0.9701419932397893,0.2086292050874551,0.2602895168929687,0.053547341459890034,0.9823729715742443,0.2086292050874551,0.004483545135054057,-0.006811007514173004,-0.012230978334454967
-1.0820718707327903,-2.7649815815175547,3.7870422198776286,-1.15434391431784,0.11586512035851866,-0.09417099954247952,-0.7368571069216866,0,0.26422189761848097,0.05667556619264168,0.9682812212067499,0.23969654403033702,0.24231954747643844,0.06192557196206979,0.9845636096175802,0.23969654403033702,0.02190235014204253,-0.0052500057694281135,-0.016282388410830295
-1.0866042543779482,-2.6143575741400604,3.6881144822156084,-1.287753909457588,0.005237991286653534,0.19149079596823187,-0.5238924486532489,0,0.2527525845706412,0.07456365392045217,0.9685124240723237,0.2162332275795145,0.2517645736960982,0.06237982841470783,0.9811101631708297,0.2162332275795145,0.0009880108745429772,0.012183825505744338,-0.012597739098505922
-1.0607701332340789,-2.679744243522194,3.643089618156221,-1.1913053829371865,-0.01397392644811686,0.2819965735065218,-0.4264271232394472,0,0.25582985635856076,0.07318618962324953,0.9686253012881941,0.2330255503691317,0.2584992903366673,0.056213526710366966,0.9792918665062592,0.2330255503691317,-0.002669433978106539,0.016972662912882568,-0.010666565218065083
-1.0317427952925642,-2.4919725487673086,3.4254394905624004,-1.3240043355104283,0.06656592639303646,0.2258608790026712,-0.40204324471347674,0,0.2692443445001807,0.08478486503853905,0.9617428953249643,0.2101528478616242,0.2563501977491784,0.0688235381797829,0.9740795593809793,0.2101528478616242,0.012894146751002311,0.015961326858756147,-0.012336664056015079
-1.0532332578694055,-2.4930410588945464,3.6381451868289485,-1.1627954280453687,0.014795909481209901,0.30269252288490023,-0.3511812654901642,0,0.2600256385150623,0.08772818208117035,0.9696033467200827,0.23815971244212703,0.2571888476271778,0.06633578780141404,0.9784107870405551,0.23815971244212703,0.002836790887884466,0.02139239427975631,-0.008807440320472315
-1.088098678092215,-2.5310193252041953,3.6565437459984502,-1.2748113849647562,-1.6927425020778902e-05,0.24297088764362265,-0.467316173574953,0,0.25197488348514613,0.08244857351479783,0.9684121634823422,0.21843473493525759,0.2519780740395591,0.06583479712904766,0.979968253423814,0.21843473493525759,-3.190554412946245e-06,0.016613776385750165,-0.011556089941471837
-1.053043056679063,-2.7596872520198454,3.7479140966109603,-1.1232494027112265,0.11039492465134465,0.22375265535223604,-0.21118843478304902,0,0.26936521402664526,0.06612406024292784,0.9744769743530133,0.24540905027327764,0.24819905570121212,0.053577312544900696,0.9792351125779049,0.24540905027327764,0.021166158325433143,0.012546747698027147,-0.004758138224891573
-1.0418687445563772,-2.5502665813647547,3.407803645809522,-1.3761328662954944,0.10329020088782191,0.20338796507256723,-0.3178767149881083,0,0.2708679060142873,0.07954299495327966,0.9626323169771158,0.20163079653864618,0.2509571761414635,0.06586827396694188,0.972528278943335,0.20163079653864618,0.019910729872823774,0.013674720986337777,-0.009895961966219224
-1.0514753556007286,-2.7583277842774288,3.096677369533388,-1.0641778075741966,0.03165868650920396,0.17940210242329258,-0.48895236228367644,0,0.2619909720173465,0.06485020015136791,0.9454323535397908,0.25651188007446213,0.2559159937533073,0.05478329870035186,0.9658139499826945,0.25651188007446213,0.006074978264039188,0.010066901451016054,-0.020381596442903716
-1.0351686728238616,-2.5619748490168837,3.9777586918243455,-1.2703451290468626,0.0916215215993551,0.005032486777509032,-0.30248035632868947,0,0.27103892070183566,0.07179361203704451,0.9786791525956866,0.21919817741087938,0.2533207126937006,0.07145897253005332,0.9841560830896634,0.21919817741087938,0.01771820800813506,0.0003346395069911967,-0.005476930493976795
